pdb_id,split,cluster_id,n_residues,n_contacts,contact_rate
1PPJ,train,463.0,3998,17,0.004252126063031516
1PPM,train,148.0,323,1,0.0030959752321981426
1PQ2,train,627.0,926,9,0.009719222462203024
1PRC,val,708.0,1186,1,0.0008431703204047217
1PRN,val,729.0,289,1,0.0034602076124567475
1PSS,train,394.0,799,4,0.0050062578222778474
1PST,train,394.0,799,4,0.0050062578222778474
1PTH,train,334.0,1100,2,0.0018181818181818182
1PVC,test,676.0,846,2,0.002364066193853428
1PXX,train,334.0,2208,4,0.0018115942028985507
1PZ4,train,179.0,113,1,0.008849557522123894
1PZL,train,51.0,241,3,0.012448132780082987
1PZX,train,694.0,566,4,0.007067137809187279
1Q4G,train,334.0,1106,7,0.006329113924050633
1Q7T,train,613.0,601,4,0.0066555740432612314
1QD5,train,375.0,257,2,0.007782101167315175
1QJP,train,91.0,137,5,0.0364963503649635
1QJU,test,676.0,804,1,0.0012437810945273632
1QJX,test,676.0,804,1,0.0012437810945273632
1QJY,test,676.0,804,1,0.0012437810945273632
1QLB,test,492.0,2296,6,0.002613240418118467
1QLE,test,83.0,1333,5,0.0037509377344336083
1QOV,train,394.0,823,3,0.0036452004860267314
1R2C,val,708.0,1185,1,0.0008438818565400844
1RG5,train,394.0,824,5,0.006067961165048544
1RGN,train,394.0,823,3,0.0036452004860267314
1RQK,train,394.0,824,2,0.0024271844660194173
1RVJ,train,394.0,820,3,0.003658536585365854
1RWT,val,427.0,2181,10,0.004585052728106373
1RY5,train,394.0,821,4,0.0048721071863581
1RZH,train,394.0,820,4,0.004878048780487805
1S5L,train,622.0,5056,2,0.00039556962025316455
1S9Q,train,51.0,440,1,0.0022727272727272726
1SKN,train,149.0,74,1,0.013513513513513514
1SQP,train,463.0,2102,9,0.004281636536631779
1SZ7,train,92.0,159,3,0.018867924528301886
1T16,train,60.0,854,5,0.00585480093676815
1T1L,train,60.0,842,5,0.0059382422802850355
1TCB,train,163.0,634,3,0.00473186119873817
1TCC,train,163.0,634,2,0.0031545741324921135
1TCO,train,598.0,628,3,0.004777070063694267
1TED,train,497.0,1454,6,0.0041265474552957355
1THQ,val,377.0,147,1,0.006802721088435374
1TVP,train,738.0,584,1,0.0017123287671232876
1TW4,train,162.0,250,3,0.012
1U19,train,365.0,696,10,0.014367816091954023
1U67,train,334.0,553,5,0.009041591320072333
1U7G,train,752.0,383,2,0.005221932114882507
1UJW,train,580.0,692,3,0.004335260115606936
1UMP,train,611.0,1860,5,0.002688172043010753
1URE,train,317.0,2620,278,0.10610687022900764
1UVC,test,775.0,182,4,0.02197802197802198
1UZY,val,2.0,478,4,0.008368200836820083
1V26,train,476.0,999,7,0.007007007007007007
1V54,test,83.0,3550,35,0.009859154929577466
1V55,test,83.0,3550,37,0.010422535211267606
1VBA,test,676.0,846,1,0.001182033096926714
1VBB,test,676.0,846,1,0.001182033096926714
1VBC,test,676.0,846,2,0.002364066193853428
1VBD,test,676.0,851,1,0.0011750881316098707
1VBE,test,676.0,846,1,0.001182033096926714
1VE6,train,778.0,1148,1,0.0008710801393728223
1VPV,train,694.0,560,5,0.008928571428571428
1VRN,val,708.0,1185,2,0.0016877637130801688
1VYF,val,298.0,135,1,0.007407407407407408
1W6J,test,581.0,727,2,0.002751031636863824
1W6K,test,581.0,725,2,0.002758620689655172
1W9N,train,507.0,460,46,0.1
1WC8,train,92.0,164,2,0.012195121951219513
1WC9,train,92.0,161,3,0.018633540372670808
1WCO,train,663.0,560,101,0.18035714285714285
1WQV,train,8.0,577,1,0.0017331022530329288
1WSS,train,8.0,577,1,0.0017331022530329288
1WTG,train,8.0,577,2,0.0034662045060658577
1WUN,train,8.0,577,1,0.0017331022530329288
1WV7,train,8.0,577,1,0.0017331022530329288
1XDA,test,277.0,200,2,0.01
1XEZ,train,432.0,663,5,0.007541478129713424
1XIO,train,106.0,217,1,0.004608294930875576
1XKW,test,452.0,655,3,0.004580152671755725
1XXS,train,443.0,244,13,0.05327868852459016
1XZM,train,677.0,197,3,0.015228426395939087
1YF6,train,394.0,820,5,0.006097560975609756
1YK3,train,119.0,1586,7,0.004413619167717529
1Z7S,test,676.0,857,2,0.002333722287047841
1ZYJ,val,526.0,331,2,0.006042296072507553
1ZZ2,val,526.0,337,4,0.011869436201780416
2A06,train,463.0,4000,17,0.00425
2A65,train,644.0,510,4,0.00784313725490196
2AA2,train,690.0,252,2,0.007936507936507936
2AF9,test,18.0,163,2,0.012269938650306749
2AG2,test,18.0,490,1,0.0020408163265306124
2AGV,train,464.0,1988,2,0.001006036217303823
2AXT,train,622.0,5078,14,0.0027569909413154787
2AYL,train,334.0,1106,8,0.007233273056057866
2AZY,train,443.0,124,1,0.008064516129032258
2BBH,val,278.0,223,3,0.013452914798206279
2BCC,train,463.0,1967,2,0.0010167768174885613
2BHI,train,582.0,120,7,0.058333333333333334
2BHW,val,427.0,669,3,0.004484304932735426
2BIF,train,733.0,864,6,0.006944444444444444
2BOZ,train,394.0,825,1,0.0012121212121212121
2BRD,train,106.0,222,6,0.02702702702702703
2BS2,test,492.0,2302,9,0.003909643788010426
2BS3,test,492.0,2300,8,0.0034782608695652175
2BS4,test,492.0,2300,10,0.004347826086956522
2BXI,val,601.0,582,5,0.00859106529209622
2BXK,val,601.0,582,5,0.00859106529209622
2BXL,val,601.0,581,4,0.0068846815834767644
2BXM,val,601.0,582,4,0.006872852233676976
2BXN,val,601.0,582,5,0.00859106529209622
2BXO,val,601.0,582,4,0.006872852233676976
2BXP,val,601.0,581,7,0.012048192771084338
2BXQ,val,601.0,582,4,0.006872852233676976
2C0J,train,92.0,304,1,0.003289473684210526
2C3E,train,261.0,293,13,0.04436860068259386
2CFH,train,92.0,625,4,0.0064
2CMB,train,477.0,287,4,0.013937282229965157
2CMC,train,477.0,286,4,0.013986013986013986
2CNE,train,477.0,287,4,0.013937282229965157
2CZV,train,628.0,651,3,0.004608294930875576
2DEB,train,691.0,1253,4,0.0031923383878691143
2DQS,train,464.0,994,1,0.001006036217303823
2DQY,train,531.0,1596,7,0.0043859649122807015
2DQZ,train,531.0,1596,4,0.002506265664160401
2DR6,test,645.0,3066,4,0.001304631441617743
2DT8,train,694.0,280,2,0.007142857142857143
2DYR,test,83.0,3550,33,0.009295774647887323
2DYS,test,83.0,3550,34,0.009577464788732394
2E1S,val,150.0,341,1,0.002932551319648094
2E3O,train,583.0,231,5,0.021645021645021644
2E3Q,train,583.0,235,2,0.00851063829787234
2E56,train,730.0,144,1,0.006944444444444444
2E9L,val,693.0,466,3,0.006437768240343348
2E9M,val,693.0,466,1,0.002145922746781116
2EAU,train,464.0,994,3,0.0030181086519114686
2EIJ,test,83.0,3550,36,0.010140845070422535
2EIK,test,83.0,3550,39,0.010985915492957746
2EIL,test,83.0,3550,34,0.009577464788732394
2EIM,test,83.0,3550,45,0.01267605633802817
2EIN,test,83.0,3550,39,0.010985915492957746
2EV1,val,614.0,366,2,0.00546448087431694
2EV2,val,614.0,369,5,0.013550135501355014
2EV3,val,614.0,369,4,0.01084010840108401
2EV4,val,614.0,369,6,0.016260162601626018
2EVU,train,678.0,245,1,0.004081632653061225
2F1T,train,318.0,549,3,0.00546448087431694
2F93,train,488.0,542,2,0.0036900369003690036
2F95,train,488.0,546,2,0.003663003663003663
2FBW,test,492.0,2185,2,0.0009153318077803204
2FIK,train,510.0,362,1,0.0027624309392265192
2FKW,train,202.0,837,15,0.017921146953405017
2FLJ,val,298.0,3325,227,0.06827067669172933
2FSL,val,526.0,332,1,0.0030120481927710845
2FSM,val,526.0,326,1,0.003067484662576687
2FSO,val,526.0,325,2,0.006153846153846154
2FST,val,526.0,324,3,0.009259259259259259
2FT9,train,162.0,125,2,0.016
2FVA,train,210.0,1640,389,0.2371951219512195
2G87,train,365.0,696,10,0.014367816091954023
2GMR,train,394.0,825,2,0.0024242424242424242
2GNU,train,394.0,816,2,0.0024509803921568627
2GO3,train,475.0,532,6,0.011278195488721804
2GSK,train,580.0,671,2,0.0029806259314456036
2GSM,test,83.0,1581,4,0.002530044275774826
2GVM,train,59.0,280,1,0.0035714285714285713
2H3I,test,664.0,2620,272,0.10381679389312977
2H3Q,test,664.0,2620,96,0.0366412213740458
2H89,test,492.0,1095,1,0.0009132420091324201
2HD0,train,299.0,1525,3,0.0019672131147540984
2HDI,train,378.0,701,1,0.0014265335235378032
2HG3,train,394.0,823,6,0.007290400972053463
2HG9,train,394.0,824,4,0.0048543689320388345
2HH1,train,394.0,827,5,0.006045949214026602
2HHK,train,394.0,824,5,0.006067961165048544
2HIT,train,394.0,826,7,0.00847457627118644
2HJ6,train,394.0,824,5,0.006067961165048544
2HNX,val,298.0,136,1,0.007352941176470588
2HPY,train,365.0,696,7,0.010057471264367816
2HRE,train,704.0,1436,2,0.001392757660167131
2I2Z,val,601.0,581,8,0.013769363166953529
2I30,val,601.0,582,6,0.010309278350515464
2I36,train,365.0,962,1,0.0010395010395010396
2I5N,val,708.0,1177,2,0.0016992353440951572
2IER,train,475.0,534,1,0.0018726591760299626
2IES,train,475.0,534,1,0.0018726591760299626
2IRV,train,19.0,355,8,0.022535211267605635
2IU8,train,135.0,1037,5,0.0048216007714561235
2IU9,train,135.0,1037,7,0.006750241080038573
2IUA,train,135.0,1037,3,0.0028929604628736743
2IWV,train,404.0,1108,25,0.02256317689530686
2IWW,train,404.0,554,5,0.009025270758122744
2J3R,train,92.0,316,2,0.006329113924050633
2J3T,train,151.0,665,1,0.0015037593984962407
2J3W,train,584.0,929,4,0.004305705059203444
2J65,train,475.0,534,3,0.0056179775280898875
2J7A,val,731.0,6812,11,0.0016147974163241339
2J8C,train,394.0,825,8,0.009696969696969697
2J8D,train,394.0,848,7,0.008254716981132075
2J8S,test,645.0,3426,31,0.009048453006421483
2JAF,train,488.0,242,3,0.012396694214876033
2JAG,train,488.0,242,4,0.01652892561983471
2JBL,val,708.0,1185,1,0.0008438818565400844
2JIY,train,394.0,822,3,0.0036496350364963502
2JJ0,train,394.0,817,3,0.0036719706242350062
2JMG,test,664.0,2620,282,0.10763358778625955
2JU8,train,162.0,1270,167,0.131496062992126
2K4H,test,664.0,2680,222,0.08283582089552238
2K4I,test,664.0,2680,248,0.09253731343283582
2KSI,train,179.0,2200,261,0.11863636363636364
2L90,train,319.0,4452,312,0.07008086253369272
2LKK,train,162.0,1260,157,0.1246031746031746
2M5P,val,478.0,270,57,0.2111111111111111
2M5Q,val,478.0,270,66,0.24444444444444444
2MO5,train,317.0,1420,86,0.06056338028169014
2MSC,train,203.0,5810,1140,0.1962134251290878
2MSD,train,203.0,5810,1845,0.31755593803786575
2MSE,train,203.0,6540,2812,0.42996941896024465
2NBN,train,344.0,2220,507,0.22837837837837838
2NNH,train,627.0,926,10,0.01079913606911447
2NNI,train,627.0,463,1,0.0021598272138228943
2NNJ,train,627.0,463,1,0.0021598272138228943
2NP5,train,211.0,716,5,0.006983240223463687
2NPQ,val,526.0,326,2,0.006134969325153374
2NS1,train,752.0,517,6,0.01160541586073501
2NV3,test,664.0,2620,327,0.12480916030534352
2NWL,val,110.0,1206,1,0.0008291873963515755
2OBD,train,508.0,472,6,0.012711864406779662
2OXL,train,732.0,124,4,0.03225806451612903
2OYE,train,334.0,553,2,0.003616636528028933
2OYU,train,334.0,553,1,0.0018083182640144665
2P4B,val,164.0,804,2,0.0024875621890547263
2PED,train,365.0,696,7,0.010057471264367816
2PFC,train,300.0,160,2,0.0125
2PLV,test,676.0,854,4,0.00468384074941452
2PNJ,train,704.0,711,2,0.0028129395218002813
2PNO,train,289.0,1752,12,0.00684931506849315
2PO5,train,704.0,718,1,0.001392757660167131
2PO7,train,704.0,718,1,0.001392757660167131
2PRC,val,708.0,1185,2,0.0016877637130801688
2PWN,train,92.0,158,4,0.02531645569620253
2Q6H,train,644.0,513,4,0.007797270955165692
2Q72,train,644.0,512,5,0.009765625
2QB4,train,644.0,511,4,0.007827788649706457
2QCU,train,152.0,1000,7,0.007
2QD1,train,704.0,1436,1,0.0006963788300835655
2QD2,train,704.0,718,2,0.002785515320334262
2QD3,train,704.0,718,1,0.001392757660167131
2QD4,train,704.0,718,2,0.002785515320334262
2QD5,train,704.0,718,1,0.001392757660167131
2QEI,train,644.0,512,4,0.0078125
2QJU,train,644.0,510,3,0.0058823529411764705
2QZT,train,344.0,218,6,0.027522935779816515
2R2I,train,779.0,184,3,0.016304347826086956
2R45,train,152.0,990,7,0.007070707070707071
2R46,train,152.0,990,7,0.007070707070707071
2R4E,train,152.0,988,9,0.009109311740890687
2R4J,train,152.0,991,7,0.007063572149344097
2R4L,train,60.0,1249,4,0.0032025620496397116
2R4N,train,60.0,842,2,0.0023752969121140144
2R4O,train,60.0,842,1,0.0011876484560570072
2R4P,train,60.0,836,1,0.0011961722488038277
2R56,test,610.0,1182,2,0.001692047377326565
2RH1,val,699.0,442,2,0.004524886877828055
2UUH,train,289.0,151,1,0.006622516556291391
2UUI,train,289.0,156,2,0.01282051282051282
2UWH,val,125.0,2748,2,0.000727802037845706
2UWS,train,394.0,824,1,0.0012135922330097086
2UWT,train,394.0,825,1,0.0012121212121212121
2UWU,train,394.0,825,7,0.008484848484848486
2UWV,train,394.0,825,2,0.0024242424242424242
2UWW,train,394.0,825,5,0.006060606060606061
2UX3,train,394.0,825,4,0.0048484848484848485
2UX4,train,394.0,825,5,0.006060606060606061
2UX5,train,394.0,825,4,0.0048484848484848485
2UXJ,train,394.0,825,2,0.0024242424242424242
2UXK,train,394.0,825,3,0.0036363636363636364
2UXM,train,394.0,825,1,0.0012121212121212121
2V50,test,645.0,6105,16,0.002620802620802621
2VN0,train,627.0,464,1,0.0021551724137931034
2VQI,train,629.0,954,1,0.0010482180293501049
2VWA,train,692.0,600,13,0.021666666666666667
2W1P,train,678.0,263,5,0.019011406844106463
2W2E,train,678.0,263,3,0.011406844106463879
2W3Y,train,482.0,528,2,0.003787878787878788
2WH5,val,58.0,536,1,0.0018656716417910447
2WJQ,train,212.0,205,1,0.004878048780487805
2WQ9,test,279.0,173,2,0.011560693641618497
2WQA,test,279.0,821,3,0.0036540803897685747
2WUT,val,298.0,133,1,0.007518796992481203
2WX5,train,394.0,823,5,0.006075334143377886
2X72,train,365.0,337,3,0.008902077151335312
2X9K,train,404.0,278,6,0.02158273381294964
2X9L,test,61.0,256,1,0.00390625
2XSI,val,601.0,582,5,0.00859106529209622
2XVV,val,601.0,582,6,0.010309278350515464
2XVW,val,601.0,582,4,0.006872852233676976
2XYW,train,522.0,526,1,0.0019011406844106464
2XYX,train,522.0,524,1,0.0019083969465648854
2Y00,val,468.0,584,5,0.008561643835616438
2Y01,val,468.0,584,4,0.00684931506849315
2Y02,val,468.0,584,5,0.008561643835616438
2Y03,val,468.0,586,4,0.006825938566552901
2Y04,val,468.0,584,7,0.011986301369863013
2Y69,test,83.0,3526,32,0.009075439591605219
2YBB,train,180.0,8330,13,0.00156062424969988
2YG2,val,320.0,314,2,0.006369426751592357
2YP4,test,120.0,491,1,0.002036659877800407
2Z6V,train,3.0,392,4,0.01020408163265306
2Z73,train,246.0,697,4,0.005738880918220947
2Z7X,train,755.0,1074,1,0.000931098696461825
2ZBD,train,464.0,994,1,0.001006036217303823
2ZIY,train,246.0,370,2,0.005405405405405406
2ZOX,val,693.0,466,3,0.006437768240343348
2ZXW,test,83.0,3526,36,0.01020986954055587
2ZYI,test,136.0,900,4,0.0044444444444444444
2ZZ9,train,678.0,223,1,0.004484304932735426
3A0B,train,622.0,5194,3,0.0005775895263765884
3A0H,train,622.0,5200,6,0.001153846153846154
3A22,val,405.0,1226,6,0.004893964110929853
3A2S,train,280.0,341,2,0.005865102639296188
3A73,val,601.0,1152,18,0.015625
3ABK,test,83.0,3550,42,0.011830985915492958
3ABL,test,83.0,3526,43,0.012195121951219513
3ABM,test,83.0,3526,44,0.012478729438457176
3AG1,test,83.0,3550,27,0.007605633802816901
3AG2,test,83.0,3544,49,0.013826185101580136
3AG3,test,83.0,3550,41,0.011549295774647887
3AG4,test,83.0,3550,49,0.01380281690140845
3AM6,train,488.0,896,4,0.004464285714285714
3AQI,train,704.0,718,1,0.001392757660167131
3AR2,train,464.0,994,1,0.001006036217303823
3AR3,train,464.0,994,1,0.001006036217303823
3AR5,train,464.0,994,1,0.001006036217303823
3AR6,train,464.0,994,2,0.002012072434607646
3AR7,train,464.0,994,1,0.001006036217303823
3ASN,test,83.0,3550,31,0.008732394366197183
3ASO,test,83.0,3550,33,0.009295774647887323
3AWM,train,121.0,407,2,0.004914004914004914
3AWQ,train,121.0,407,2,0.004914004914004914
3AYF,test,34.0,754,2,0.002652519893899204
3AYG,test,34.0,754,2,0.002652519893899204
3AYM,train,246.0,697,3,0.00430416068866571
3AYN,train,246.0,697,1,0.0014347202295552368
3B2H,train,162.0,130,2,0.015384615384615385
3B2I,train,162.0,130,1,0.007692307692307693
3B2J,train,162.0,130,2,0.015384615384615385
3B2K,train,162.0,129,1,0.007751937984496124
3B2L,train,162.0,126,2,0.015873015873015872
3B6H,train,780.0,939,5,0.005324813631522897
3B74,test,662.0,307,1,0.003257328990228013
3B8E,train,406.0,2146,1,0.00046598322460391424
3B9L,val,601.0,582,12,0.020618556701030927
3B9M,val,601.0,582,6,0.010309278350515464
3BDQ,train,344.0,218,6,0.027522935779816515
3BEH,val,509.0,895,1,0.0011173184357541898
3BIF,train,733.0,432,2,0.004629629629629629
3BKD,train,13.0,200,3,0.015
3BKR,train,165.0,119,2,0.01680672268907563
3BKS,train,165.0,119,2,0.01680672268907563
3BXP,train,599.0,520,4,0.007692307692307693
3C1H,train,752.0,363,2,0.005509641873278237
3C1I,train,752.0,366,1,0.00273224043715847
3C9L,train,365.0,329,3,0.00911854103343465
3CAP,train,365.0,652,2,0.003067484662576687
3CAY,train,615.0,276,16,0.057971014492753624
3CBA,train,615.0,276,9,0.03260869565217391
3CJD,val,453.0,364,5,0.013736263736263736
3CUE,train,92.0,4036,8,0.0019821605550049554
3CWB,train,463.0,4040,10,0.0024752475247524753
3CX9,val,601.0,582,2,0.003436426116838488
3D38,val,708.0,1177,2,0.0016992353440951572
3D4S,val,699.0,439,2,0.004555808656036446
3DAS,train,479.0,334,5,0.014970059880239521
3DBX,val,756.0,378,2,0.005291005291005291
3DQB,train,365.0,337,3,0.008902077151335312
3DSY,train,394.0,823,4,0.004860267314702308
3DTA,train,394.0,823,5,0.006075334143377886
3DTR,train,394.0,819,5,0.006105006105006105
3DTS,train,394.0,823,5,0.006075334143377886
3DTU,test,83.0,1592,3,0.0018844221105527637
3DU2,train,394.0,823,5,0.006075334143377886
3DU3,train,394.0,823,3,0.0036452004860267314
3DUQ,train,394.0,819,5,0.006105006105006105
3DWN,train,60.0,842,3,0.0035629453681710215
3E68,train,153.0,825,1,0.0012121212121212121
3EAM,test,621.0,1555,10,0.006430868167202572
3EE4,test,231.0,289,2,0.006920415224913495
3EGL,test,734.0,769,9,0.011703511053315995
3EHB,test,83.0,1011,12,0.011869436201780416
